nombre,tipo,caracteristicas,detalles,imagen,web_link,categoria,descripcion
"Biorremediación Anaeróbica con SRB","Métodos de Tratamiento In-Situ","Uso de bacterias sulfato-reductoras (SRB) para reducir sulfato a sulfuro, precipitando metales como sulfuros insolubles y aumentando pH. [53, 54]","Rentable para AMD. Biorreactores SRB: alta reducción sulfato (hasta 93.97%), recuperación metales (hasta 99% Zn)..[53] Fuentes de C: glicerol, etanol, residuos orgánicos..[53] Desafíos: condiciones óptimas, H2S tóxico, escalabilidad..[53] Avances: ingeniería genética SRB, integración tecnologías..[53] S⁰RB también prometedoras..[54]","Esquema de biorreactor SRB o precipitación de metales.","[mdpi.com](https://www.mdpi.com), [researchgate.net](https://www.researchgate.net), [wsp.com](https://www.wsp.com), [olympianwatertesting.com](https://olympianwatertesting.com)","Remediación In-Situ","Utilización de microorganismos, especialmente bacterias sulfato-reductoras, para tratar AMD y precipitar metales pesados."
"Fitorremediación","Métodos de Tratamiento In-Situ","Uso de plantas para extraer (fitoextracción) o inmovilizar/estabilizar (fitoestabilización) contaminantes (metales) en suelos/relaves. [55, 56]","Fitoextracción: translocación metales a biomasa aérea y cosecha. Fitoestabilización: cubierta vegetal inmoviliza metales en zona radicular..[55] Limitaciones: bajas tasas remoción (fitoextracción); conocimiento enmiendas (fitoestabilización)..[55] Plantas nativas prometedoras..[55] ""Cap and plant"" común..[56] PGPB mitigan estrés..[55]","Plantas creciendo sobre relaves, ilustrando fitoestabilización.","[researchgate.net](https://www.researchgate.net), [superfund.arizona.edu](https://superfund.arizona.edu)","Remediación In-Situ","Uso de plantas para remover, degradar o estabilizar contaminantes en el suelo y agua, incluyendo metales de relaves."
"Nanorremediación","Métodos de Tratamiento In-Situ","Uso de nanopartículas (1-100 nm) (nZVI, carbono, óxidos metálicos) para tratar agua subterránea. [57, 58]","Mecanismos: reducción química (nZVI reduce Cr(VI)), adsorción (nanotubos C adsorben metales), catálisis..[57] Ventajas: alta eficiencia, tratamiento dirigido, menor impacto ambiental, in-situ, rentable a largo plazo..[57] nZVI efectivo para Pb, Cd, Hg, As..[57, 58] Limitaciones: impacto ambiental NP a largo plazo, costo producción, regulación..[57] Hepure y Hongwu son proveedores de nZVI..[59, 60] Prometedora pero con interrogantes ambientales..[57]","Ilustración de nanopartículas interactuando con contaminantes.","[genviss.in](https://genviss.in), [researchgate.net](https://www.researchgate.net), [hepure.com](https://www.hepure.com), [hwnanoparticles.com](https://www.hwnanoparticles.com)","Remediación In-Situ","Aplicación de nanopartículas reactivas para degradar o inmovilizar contaminantes directamente en el acuífero."
"Atenuación Natural Monitoreada (MNA)","Métodos de Tratamiento In-Situ","Confianza en procesos naturales (físicos, químicos, biológicos) para disminuir contaminantes, con monitoreo. [61, 62]","Procesos: sorción, dilución, evaporación, biodegradación, degradación química/abiótica, advección, dispersión..[61, 62] Mejor si fuente eliminada..[61] Requiere condiciones adecuadas, monitoreo. Larga duración (años-décadas)..[61] Evaluar tendencias históricas, datos geoquímicos, estudios microcosmos..[62]","Gráfico de disminución de contaminantes por atenuación natural.","[des.sc.gov](https://des.sc.gov), [frtr.gov](https://frtr.gov)","Remediación In-Situ","Estrategia de remediación que se basa en procesos naturales para reducir la concentración de contaminantes, con monitoreo continuo."
"Remediación Electrocinética","Métodos de Tratamiento In-Situ","Aplicación de corriente eléctrica directa de bajo nivel para movilizar contaminantes (electromigración, electroósmosis, electroforesis) hacia electrodos. [63, 64]","Efectiva para metales, aniones, orgánicos en suelos de baja permeabilidad/heterogéneos..[64] Puede combinarse con biorremediación o PRBs..[64] Electromigración efectiva para iones de metales pesados..[64]","Diagrama de sistema de remediación electrocinética.","[epa.gov](https://www.epa.gov), [waterlyst.com](https://www.waterlyst.com)","Remediación In-Situ","Técnica que utiliza campos eléctricos para mover y extraer contaminantes del subsuelo."
"Bombeo y Tratamiento (Pump and Treat - P&T)","Métodos de Tratamiento Ex-Situ","Extracción de agua subterránea contaminada y tratamiento en superficie. [40, 41, 42]","Tratamiento puede ser simple (carbón activado, air stripping) o múltiple..[41] Agua tratada se descarga/reutiliza. Residuos (lodos, filtros) requieren disposición..[41] Duración: años a décadas..[41] ESD Wast2Water fabrica sistemas..[42] A menudo se requiere un tren de tratamiento para efluentes complejos..[41, 65]","Diagrama de sistema P&T con pozos y planta de tratamiento.","[epa.gov](https://www.epa.gov), [waste2water.com](https://www.waste2water.com), [gost.tpsgc-pwgsc.gc.ca](https://gost.tpsgc-pwgsc.gc.ca)","Remediación Ex-Situ","Método que extrae agua subterránea contaminada para tratarla en la superficie antes de su descarga o reutilización."
"Procesos de Oxidación Avanzada (POA) Ex-Situ","Métodos de Tratamiento Ex-Situ","Uso de radicales hidroxilo (•OH) u otros oxidantes fuertes para mineralizar/transformar contaminantes orgánicos. [66, 67]","Tipos: O3/UV, O3/H2O2, UV/H2O2, Fenton, fotocatálisis (UV/TiO2), electroquímicos..[66, 67] Efectivos para contaminantes persistentes..[67] CTET (UNSW) desarrolla POA para aguas de minería (alta salinidad, orgánicos refractarios)..[66] Veolia (UV, O3, H2O2)..[68] ZnO-BiOI para cianuro..[69] La gestión de residuos secundarios es un desafío..[41, 70, 71]","Esquema de reactor POA (e.g., UV/H2O2).","[unsw.edu.au](https://www.unsw.edu.au), [trityenviro.com](https://www.trityenviro.com), [watertechnologies.com](https://www.watertechnologies.com), [mdpi.com](https://www.mdpi.com)","Remediación Ex-Situ","Tecnologías que utilizan oxidantes potentes (como radicales hidroxilo) generados en superficie para degradar contaminantes en el agua extraída."
"Precipitación Química","Métodos de Tratamiento Ex-Situ","Adición de químicos para formar precipitados sólidos de contaminantes (metales pesados) que se separan del agua. [71, 72]","Cal (Ca(OH)2) o sulfuros (Na2S) para precipitar hidróxidos o sulfuros metálicos..[70, 71] Control pH crucial..[71] Genera lodos..[71] Aplicable a aguas residuales de minería..[71] Kiewit y Veolia (MetClear*) ofrecen soluciones..[73, 74] El balance costo-eficiencia es clave..[67, 75]","Tanques de mezcla y sedimentación para precipitación química.","[krakensense.com](https://krakensense.com), [longdom.org](https://www.longdom.org), [frtr.gov](https://frtr.gov), [kiewit.com](https://www.kiewit.com), [watertechnologies.com](https://www.watertechnologies.com)","Remediación Ex-Situ","Proceso que elimina metales pesados y otros contaminantes del agua mediante la adición de químicos que los hacen insolubles y precipitan."
"Intercambio Iónico","Métodos de Tratamiento Ex-Situ","Eliminación de iones tóxicos por intercambio con iones inocuos en resina sintética, arcillas, zeolitas. [70, 72, 76]","Resinas selectivas. Reversible, resinas regenerables (genera flujo residuo 2-10%)..[70] Límite influyente ~2,000 mg/L..[70] Felitecn (resinas catiónicas/quelantes para metales pesados)..[76] LANXESS (Lewatit®)..[77] ProSep Ltd..[78]","Columnas de intercambio iónico en planta de tratamiento.","[krakensense.com](https://krakensense.com), [frtr.gov](https://frtr.gov), [felitecn.com](https://www.felitecn.com), [lanxess.com](https://www.lanxess.com), [prosep-ltd.com](https://www.prosep-ltd.com)","Remediación Ex-Situ","Tecnología que utiliza resinas especiales para intercambiar iones contaminantes en el agua por iones inofensivos."
"Ósmosis Inversa (RO)","Métodos de Tratamiento Ex-Situ","Purificación con membrana semipermeable para eliminar iones, moléculas, partículas mediante presión. [65, 72, 75]","Elimina hasta 99% sales disueltas, partículas, coloides, orgánicos..[75] Permite reciclaje agua. Requiere pretratamiento (evitar fouling)..[65, 75] Costo inicial alto, beneficios a largo plazo..[75] AMPAC USA, Pure Aqua, Newterra ofrecen sistemas..[75, 79, 80] FO como pretratamiento para RO..[65]","Módulos de membranas RO en skid de tratamiento.","[krakensense.com](https://krakensense.com), [ampac1.com](https://www.ampac1.com), [acarp.com.au](https://www.acarp.com.au), [pureaqua.com](https://www.pureaqua.com), [newterra.com](https://www.newterra.com)","Remediación Ex-Situ","Proceso de filtración por membrana que elimina una amplia gama de contaminantes disueltos del agua bajo presión."
"Tomografía de Resistividad Eléctrica (ERT)","Métodos Geofísicos","Mide distribución espacial de resistividad eléctrica. Zonas saturadas/contaminadas (conductivas) suelen tener baja resistividad. [81, 82, 83, 84]","Caracterización sitios, detección infiltración/fugas en presas, contenido humedad..[32, 81, 83, 84] Mapeo plumas contaminantes..[82, 85] Ventajas: seguro, rápido, rentable vs invasivos..[84] HGI (ERT para lixiviación)..[84] Usada en minería para detectar túneles/cavidades..[86] La geofísica evoluciona hacia monitoreo proactivo..[81, 83, 84]","Perfil de resistividad 2D mostrando anomalía de baja resistividad.","[parsan.biz](https://www.parsan.biz), [researchgate.net](https://www.researchgate.net), [agu.confex.com](https://agu.confex.com), [hgiworld.com](https://www.hgiworld.com), [mdpi.com](https://www.mdpi.com), [clu-in.org](https://clu-in.org)","Monitoreo y Detección","Técnica geofísica que mapea la resistividad eléctrica del subsuelo para detectar zonas de infiltración y plumas de contaminación."
"Polarización Inducida (IP)","Métodos Geofísicos","Mide capacidad de materiales subsuelo para almacenar/liberar carga eléctrica (cargabilidad). Sensible a sulfuros diseminados y arcillas. [81, 87, 88]","Mapeo contaminación por relaves sulfurosos, halos alteración, variaciones agua subterránea..[87, 88] Diferencia zonas mineralizadas de roca encajante..[87] Usada en exploración minera y evaluaciones ambientales..[87, 88] Superficie o sondeos..[88, 89, 90] La integración de múltiples métodos geofísicos es clave..[81, 91]","Mapa de cargabilidad mostrando anomalía de sulfuros.","[parsan.biz](https://www.parsan.biz), [gaiaexploracion.com](https://www.gaiaexploracion.com), [austhaigeophysics.com](https://www.austhaigeophysics.com), [epa.gov](https://www.epa.gov)","Monitoreo y Detección","Técnica geofísica que mide la cargabilidad eléctrica del subsuelo, útil para detectar minerales sulfurosos y arcillas asociadas a contaminación."
"Potencial Espontáneo (SP)","Métodos Geofísicos","Método pasivo que mide diferencias de potencial eléctrico natural por flujo de agua o reacciones electroquímicas. [81, 91, 92]","Detección fugas en presas, trazado flujo subsuperficial, monitoreo plumas conductoras..[81, 91, 92, 93] Flujo entrada: potencial negativo; salida: positivo..[91] SUMO Services ofrece SP..[93] La conversión de datos geofísicos a parámetros directos es compleja y requiere calibración..[83]","Perfil de SP sobre presa mostrando anomalía de fuga.","[parsan.biz](https://www.parsan.biz), [epa.gov](https://www.epa.gov), [clu-in.org](https://clu-in.org), [sumoservices.com](https://www.sumoservices.com)","Monitoreo y Detección","Técnica geofísica pasiva que mide los potenciales eléctricos naturales en el subsuelo para detectar flujos de agua (infiltraciones)."
"Métodos Electromagnéticos (EM)","Métodos Geofísicos","Inducción de corrientes eléctricas para mapear variaciones conductividad. FDEM o TDEM. [94, 95]","Aplicaciones: mapeo suelos, geología, fallas, plumas contaminantes, filtraciones, objetos metálicos..[94] Profundidad: metros a 1000 m..[94] EM Aerotransportados (AEM) para áreas remotas..[94, 95] EMC Geographic Services y TEMcompany (sTEM) ofrecen equipos/servicios..[96, 97]","Mapa de conductividad del subsuelo por EM.","[clu-in.org](https://clu-in.org), [water.ca.gov](https://water.ca.gov), [emcgeophysics.com](https://www.emcgeophysics.com), [temcompany.com](https://www.temcompany.com)","Monitoreo y Detección","Técnicas geofísicas que utilizan campos electromagnéticos para investigar las propiedades eléctricas del subsuelo y detectar anomalías."
"Georradar (GPR)","Métodos Geofísicos","Pulsos de ondas de radio de alta frecuencia para imágenes subsuelo somero (<10 m). [98, 99]","Identifica estructuras subsuperficiales, vacíos, capas suelo, integridad hormigón, contaminantes..[98] Ventajas: no destructivo, alta resolución, versátil, tiempo real..[98] Mapeo geología somera, vertederos, fugas, tanques enterrados..[98, 99] ECS Limited ofrece GPR..[100]","Radargrama mostrando anomalía subsuperficial.","[mfe-is.com](https://www.mfe-is.com), [fendergeophysics.com.au](https://www.fendergeophysics.com.au), [ecslimited.com](https://www.ecslimited.com), [epa.gov](https://www.epa.gov)","Monitoreo y Detección","Técnica geofísica que utiliza ondas de radio para obtener imágenes de alta resolución del subsuelo somero, útil para detectar fugas y objetos enterrados."
"Redes de Sensores Inalámbricos (WSN) y Plataformas IoT","Monitoreo Basado en Sensores","Sensores interconectados (piezómetros, inclinómetros, etc.) transmiten datos inalámbricamente a plataforma centralizada. [101, 102, 103, 104]","Mejoran conocimiento mecanismos falla, detectan riesgos, diseñan expansiones, establecen respuestas emergencia..[101] Datos vía nodos/gateway a software visualización..[101] Mining3 (sensores presión/flujo agua)..[102] Viasat Tailings Insight (nube, satélite L-band, LoRaWAN)..[103] DAARWIN (SAALG Geomechanics, gemelos digitales)..[104] Worldsensing, sensemetrics (Bentley) son proveedores..[105, 106]","Panel de control plataforma IoT con datos de presa.","[geosense.com](https://www.geosense.com), [mining3.com](https://www.mining3.com), [viasat.com](https://www.viasat.com), [waterpowermagazine.com](https://www.waterpowermagazine.com), [worldsensing.com](https://www.worldsensing.com), [infrastructureiot.com](https://www.infrastructureiot.com)","Monitoreo y Detección","Sistemas de múltiples sensores distribuidos en el sitio que recopilan y transmiten datos en tiempo real para el monitoreo remoto de presas de relaves."
"Sensores de Fibra Óptica (DTS - Distributed Temperature Sensing)","Monitoreo Basado en Sensores","Mide temperatura continuamente a lo largo de un cable de fibra óptica usando pulsos láser y análisis de retrodispersión Raman. [107, 108]","Detecta infiltraciones por anomalías de temperatura (e.g., agua subterránea fría)..[108] Resolución espacial submétrica en kilómetros..[108] Calibración necesaria..[108] Aplicaciones: detección fugas, incendios, evaluación condición activos..[107] Uptech Sensing y Hawk Measurement Systems ofrecen sistemas DTS para monitoreo de presas..[109, 110]","Perfil de temperatura a lo largo de un cable DTS mostrando una anomalía por infiltración.","[apsensing.com](https://www.apsensing.com), [epa.gov](https://www.epa.gov), [uptech-sensing.com](https://www.uptech-sensing.com), [hawkfiber.com](https://www.hawkfiber.com)","Monitoreo y Detección","Tecnología que utiliza cables de fibra óptica como sensores lineales de temperatura para detectar fugas e infiltraciones mediante anomalías térmicas."
"Sistemas de Monitoreo de Calidad de Agua en Tiempo Real","Muestreo y Análisis Avanzado de Aguas Subterráneas","Sistemas autónomos que muestrean y analizan agua in-situ, transmitiendo datos de calidad en tiempo real a una plataforma. [111, 112]","KETOS SHIELD: monitorea 30+ parámetros (metales pesados, inorgánicos, nutrientes). Muestreo, análisis, calibración y limpieza autónomos. Alertas basadas en umbrales..[111] In-Situ Inc.: instrumentación y software para datos en tiempo real (calidad, nivel, flujo)..[112] LG Sonic: monitoreo de hasta 23 metales, bajos niveles de detección, integración con software online..[113]","Unidad KETOS SHIELD o panel de control de un sistema de monitoreo en tiempo real.","[ketos.co](https://ketos.co), [in-situ.com](https://www.in-situ.com), [lgsonic.com](https://www.lgsonic.com)","Monitoreo y Detección","Sensores y analizadores instalados en pozos o puntos de descarga que miden continuamente parámetros de calidad del agua y transmiten los datos de forma remota."
"Técnicas Avanzadas de Muestreo de Suelo y Agua Subterránea","Muestreo y Análisis Avanzado de Aguas Subterráneas","Métodos mejorados para obtener muestras representativas y minimizar alteraciones. Incluye Direct Push Technology (DPT), muestreo multinivel, Incremental Sampling Methodology (ISM). [114, 115]","DPT: menos invasivo, rápido, rentable para materiales no consolidados; perfiles verticales detallados..[114] Muestreo multinivel: muestras a varias profundidades en un mismo sondeo para distribución vertical de contaminantes..[114] ISM: múltiples incrementos para muestra representativa..[114] Muestreo de bajo flujo y pasivo son comunes para agua subterránea..[115]","Equipo DPT tomando muestras o esquema de muestreo multinivel.","[rsbenv.com](https://rsbenv.com), [qedenv.com](https://www.qedenv.com)","Monitoreo y Detección","Métodos y equipos especializados para la recolección de muestras de agua subterránea que aseguran la representatividad y minimizan la alteración de la muestra."
"Trazadores Isotópicos y Huella Geoquímica","Muestreo y Análisis Avanzado de Aguas Subterráneas","Análisis de ratios isotópicos (C, N, S, Sr, H, O) y concentraciones de iones mayoritarios para identificar fuentes de contaminación, trazar transporte y entender procesos de transformación. [116, 117, 118, 119]","Isótopos estables (13C/12C, 15N/14N, 34S/32S) reflejan fuentes y procesos biogeoquímicos..[116] Isótopos radiactivos (3H, 14C, 36Cl) para datar agua y contaminación..[116, 117] Isótopos de Sr (87Sr/86Sr) sensibles a mezcla de fluidos..[117] Huella geoquímica (Ca, Mg, Na, K, Cl, SO4, alcalinidad) puede caracterizar lixiviados de mina y diferenciarlos de agua regional..[118, 119] Estudio en Mongolia usó isótopos de Cu, Mo, Zn, S-O para diferenciar fuentes (relaves, drenaje, etc.)..[118] ALS Global y Microbial Insights ofrecen análisis. Exponent y Okane Consultants especializadas en geoquímica..[120, 121, 122, 123]","Gráfico bi-plot de ratios isotópicos mostrando diferentes fuentes.","[library.fiveable.me](https://library.fiveable.me), [epa.gov](https://www.epa.gov), [pubmed.ncbi.nlm.nih.gov](https://pubmed.ncbi.nlm.nih.gov), [clu-in.org](https://clu-in.org), [alsglobal.com](https://www.alsglobal.com), [microbe.com](https://microbe.com), [exponent.com](https://www.exponent.com), [okaneconsultants.com](https://www.okaneconsultants.com)","Monitoreo y Detección","Técnicas analíticas que utilizan la composición isotópica y química del agua y los contaminantes para identificar sus orígenes y vías de migración."
